Código,SKU,Descripción,Descripción ampliada,Tipo de producto/servicio,Importe de compra,Importe de venta
522,,LICORITAS FELFORT 25U,,Productos ,"$ 18.574,52","$22.475,17 "
154,,MARROC X60U,,Productos ,"$ 540,34","$653,81 "
535,,MEDALLON D. LECHE X20U FELFORT,,Productos ,"$ 14.096,83","$17.057,16 "
155,,MENTITAS FELFORT X30U,,Productos ,"$ 13.157,54","$15.920,62 "
151,,MONEDAS PIRATAS/ EMOJI X60U,,Productos ,"$ 299,44","$362,32 "
778,,NOBEL X 15U,,Productos ,"$ 1.277,60","$1.545,90 "
156,,PARAGUITAS X40U,,Productos ,"$ 547,04","$661,92 "
506,,TIVIS FELFORT X20U,,Productos ,"$ 722,34","$874,03 "
971,,BOMB. RAFFAELLO 3U COCO Y ALMENDRAS,,Productos ,"$ 1.390,83","$1.682,91 "
566,,FERRERO ROCHER 3U,,Productos ,"$ 1.768,12","$2.139,43 "
776,,HUEVO KINDER JOY 20GRS 12U MIXTO,,Productos ,"$ 1.396,53","$1.689,80 "
558,,HUEVO KINDER SORPRESA 20GRS 12U,,Productos ,"$ 1.269,08","$1.535,59 "
583,,KINDER BUENO 43GRS 30U,,Productos ,"$ 1.728,53","$2.091,52 "
822,,KINDER MAXI 21GRS 10U,,Productos ,"$ 6.898,47","$8.347,15 "
584,,KINDER TABLETA X4U,,Productos ,"$ 1.432,83","$1.733,72 "
623,,NUTELLA 14OGRS 10U,,Productos ,"$ 2.592,82","$3.137,31 "
955,,NUTELLA 350GRS,,Productos ,"$ 5.800,01","$7.018,01 "
833,,PAST. TIC TAC 12U FRUTILLA,,Productos ,"$ 5.629,10","$6.811,21 "
464,,PAST. TIC TAC 12U MENTA,,Productos ,"$ 5.629,10","$6.811,21 "
831,,PAST. TIC TAC 12U MENTA FUERTE,,Productos ,"$ 5.629,10","$6.811,21 "
834,,PAST. TIC TAC 12U MIX DE FRUTAS,,Productos ,"$ 5.629,10","$6.811,21 "
832,,PAST. TIC TAC 12U NARANJA,,Productos ,"$ 5.629,10","$6.811,21 "
222,,PREST. GILLETTE II FILOS,,Productos ,"$ 1.055,55","$1.277,21 "
220,,PREST. GILLETTE III FILOS PIEL SENSIBLE,,Productos ,"$ 1.614,64","$1.953,72 "
311,,PREST. MINORA,,Productos ,"$ 906,88","$1.097,32 "
695,,NIEVE NASHVILLE 320GRS 12U,,Productos ,"$ 1.126,45","$1.363,01 "
677,,MALVADISCO BUFFYS 45OGRS,,Productos ,"$ 3.166,33","$3.831,26 "
342,,MALVAVISCO BUFFYS X12GRS,,Productos ,"$ 138,70","$167,83 "
745,,CHOC. GEORGALOS FULL MANI 100GRS 30U,,Productos ,"$ 0,83","$1,00 "
169,,FLYNN PAFF 8GRS 70U,,Productos ,"$ 3.466,92","$4.194,97 "
611,,LENGUETAZO TUTTI FRUTTI,,Productos ,"$ 124,55","$150,70 "
171,,MANTECOL 111GRS,,Productos ,"$ 1.421,27","$1.719,74 "
172,,MANTECOL 40GRS,,Productos ,"$ 660,75","$799,51 "
495,,ARITOS FRUTALES 2500GRS,,Productos ,"$ 9.220,53","$11.156,84 "
466,,ARITOS FRUTALES X130 GRS,,Productos ,"$ 794,81","$961,72 "
378,,BALONCITO CHOCOLATADOS X150GRS,,Productos ,"$ 905,92","$1.096,16 "
950,,COPOS DE MAIZ GRANEL 3000GRS,,Productos ,"$ 6.760,30","$8.179,96 "
679,,COPOS DE MAIZ S/ AZUCAR 3000GRS,,Productos ,"$ 602,63","$729,18 "
402,,COPOS DE MAIZ S/AZUCAR,,Productos ,"$ 662,94","$802,16 "
386,,FRUTIGRAM AVENA Y CHIA,,Productos ,"$ 892,81","$1.080,30 "
502,,FRUTIGRAM AVENA Y FRUTOS ROJOS,,Productos ,"$ 1.565,21","$1.893,91 "
371,,FRUTIGRAM CON CHIPS X250GRS,,Productos ,"$ 1.565,21","$1.893,91 "
381,,FRUTIGRAM SALVADO DULCE,,Productos ,"$ 818,24","$990,07 "
372,,FRUTIGRAM SEMILLAS X250GRS,,Productos ,"$ 1.029,23","$1.245,37 "
380,,FRUTIGRAM TROPICAL,,Productos ,"$ 1.565,21","$1.893,91 "
367,,FRUTIGRAN AVENA Y PASAS X250GRS,,Productos ,"$ 1.058,53","$1.280,82 "
538,,GRANIX CEREAL X185GR,,Productos ,"$ 529,00","$640,09 "
632,,GRANIX LINO X180GR,,Productos ,"$ 552,90","$669,01 "
498,,GRANIX SALVADO X270GRS,,Productos ,"$ 794,50","$961,34 "
500,,GRANIX SANDWICH 200GRS,,Productos ,"$ 647,32","$783,26 "
562,,GRANIX SESAMO X185GRS,,Productos ,"$ 552,90","$669,01 "
499,,GRANIX SIN SAL 185GRS,,Productos ,"$ 607,57","$735,16 "
